Category,Specialty,TaskID
Technical,All,T0008
Technical,All,T0009
Technical,All,T0010
Technical,All,T0011
Technical,All,T0012
Technical,All,T0013
Technical,All,T0014
Technical,All,T0015
Technical,All,T0018
Technical,All,T0019
Technical,All,T0020
Technical,All,T0021
Technical,All,T0022
Technical,All,T0023
Technical,All,T0026
Technical,All,T0027
Technical,All,T0028
Technical,All,T0029
Technical,All,T0031
Technical,All,T0032
Technical,All,T0034
Technical,All,T0035
Technical,All,T0036
Technical,All,T0038
Technical,All,T0040
Technical,All,T0041
Technical,All,T0042
Technical,All,T0043
Technical,All,T0046
Technical,All,T0047
Technical,All,T0048
Technical,All,T0049
Technical,All,T0050
Technical,All,T0051
Technical,All,T0053
Technical,All,T0054
Technical,All,T0055
Technical,All,T0056
Technical,All,T0057
Technical,All,T0058
Technical,All,T0059
Technical,All,T0061
Technical,All,T0063
Technical,All,T0065
Technical,All,T0067
Technical,All,T0069
Technical,All,T0070
Technical,All,T0071
Technical,All,T0075
Technical,All,T0076
Technical,All,T0077
Technical,All,T0078
Technical,All,T0080
Technical,All,T0081
Technical,All,T0082
Technical,All,T0084
Technical,All,T0087
Technical,All,T0088
Technical,All,T0090
Technical,All,T0096
Technical,All,T0100
Technical,All,T0103
Technical,All,T0104
Technical,All,T0105
Technical,All,T0107
Technical,All,T0108
Technical,All,T0109
Technical,All,T0110
Technical,All,T0111
Technical,All,T0112
Technical,All,T0113
Technical,All,T0114
Technical,All,T0117
Technical,All,T0118
Technical,All,T0119
Technical,All,T0120
Technical,All,T0121
Technical,All,T0122
Technical,All,T0124
Technical,All,T0125
Technical,All,T0126
Technical,All,T0129
Technical,All,T0136
Technical,All,T0137
Technical,All,T0138
Technical,All,T0139
Technical,All,T0140
Technical,All,T0142
Technical,All,T0143
Technical,All,T0144
Technical,All,T0146
Technical,All,T0152
Technical,All,T0153
Technical,All,T0155
Technical,All,T0160
Technical,All,T0161
Technical,All,T0162
Technical,All,T0163
Technical,All,T0164
Technical,All,T0165
Technical,All,T0166
Technical,All,T0167
Technical,All,T0168
Technical,All,T0170
Technical,All,T0171
Technical,All,T0172
Technical,All,T0173
Technical,All,T0175
Technical,All,T0176
Technical,All,T0177
Technical,All,T0178
Technical,All,T0179
Technical,All,T0180
Technical,All,T0181
Technical,All,T0182
Technical,All,T0186
Technical,All,T0187
Technical,All,T0188
Technical,All,T0189
Technical,All,T0190
Technical,All,T0193
Technical,All,T0196
Technical,All,T0198
Technical,All,T0200
Technical,All,T0201
Technical,All,T0203
Technical,All,T0205
Technical,All,T0207
Technical,All,T0210
Technical,All,T0212
Technical,All,T0214
Technical,All,T0216
Technical,All,T0217
Technical,All,T0220
Technical,All,T0225
Technical,All,T0228
Technical,All,T0231
Technical,All,T0232
Technical,All,T0233
Technical,All,T0236
Technical,All,T0237
Technical,All,T0238
Technical,All,T0240
Technical,All,T0241
Technical,All,T0242
Technical,All,T0246
Technical,All,T0252
Technical,All,T0253
Technical,All,T0257
Technical,All,T0258
Technical,All,T0259
Technical,All,T0260
Technical,All,T0261
Technical,All,T0262
Technical,All,T0266
Technical,All,T0267
Technical,All,T0268
Technical,All,T0269
Technical,All,T0270
Technical,All,T0271
Technical,All,T0272
Technical,All,T0274
Technical,All,T0278
Technical,All,T0279
Technical,All,T0285
Technical,All,T0286
Technical,All,T0287
Technical,All,T0288
Technical,All,T0289
Technical,All,T0290
Technical,All,T0291
Technical,All,T0292
Technical,All,T0293
Technical,All,T0294
Technical,All,T0295
Technical,All,T0296
Technical,All,T0297
Technical,All,T0298
Technical,All,T0299
Technical,All,T0303
Technical,All,T0304
Technical,All,T0305
Technical,All,T0306
Technical,All,T0307
Technical,All,T0308
Technical,All,T0310
Technical,All,T0311
Technical,All,T0312
Technical,All,T0314
Technical,All,T0315
Technical,All,T0324
Technical,All,T0326
Technical,All,T0328
Technical,All,T0330
Technical,All,T0331
Technical,All,T0332
Technical,All,T0335
Technical,All,T0337
Technical,All,T0338
Technical,All,T0343
Technical,All,T0346
Technical,All,T0348
Technical,All,T0350
Technical,All,T0358
Technical,All,T0359
Technical,All,T0360
Technical,All,T0378
Technical,All,T0386
Technical,All,T0393
Technical,All,T0395
Technical,All,T0396
Technical,All,T0397
Technical,All,T0398
Technical,All,T0399
Technical,All,T0400
Technical,All,T0401
Technical,All,T0403
Technical,All,T0406
Technical,All,T0411
Technical,All,T0416
Technical,All,T0417
Technical,All,T0418
Technical,All,T0419
Technical,All,T0420
Technical,All,T0422
Technical,All,T0423
Technical,All,T0424
Technical,All,T0425
Technical,All,T0426
Technical,All,T0427
Technical,All,T0428
Technical,All,T0430
Technical,All,T0431
Technical,All,T0432
Technical,All,T0433
Technical,All,T0435
Technical,All,T0436
Technical,All,T0438
Technical,All,T0440
Technical,All,T0446
Technical,All,T0447
Technical,All,T0448
Technical,All,T0449
Technical,All,T0453
Technical,All,T0455
Technical,All,T0456
Technical,All,T0457
Technical,All,T0458
Technical,All,T0459
Technical,All,T0461
Technical,All,T0464
Technical,All,T0466
Technical,All,T0468
Technical,All,T0469
Technical,All,T0470
Technical,All,T0471
Technical,All,T0473
Technical,All,T0475
Technical,All,T0479
Technical,All,T0480
Technical,All,T0482
Technical,All,T0483
Technical,All,T0484
Technical,All,T0486
Technical,All,T0488
Technical,All,T0490
Technical,All,T0491
Technical,All,T0494
Technical,All,T0496
Technical,All,T0498
Technical,All,T0500
Technical,All,T0501
Technical,All,T0502
Technical,All,T0503
Technical,All,T0504
Technical,All,T0507
Technical,All,T0509
Technical,All,T0510
Technical,All,T0511
Technical,All,T0512
Technical,All,T0513
Technical,All,T0514
Technical,All,T0515
Technical,All,T0516
Technical,All,T0517
Technical,All,T0518
Technical,All,T0521
Technical,All,T0523
Technical,All,T0526
Technical,All,T0527
Technical,All,T0528
Technical,All,T0530
Technical,All,T0531
Technical,All,T0532
Technical,All,T0538
Technical,All,T0539
Technical,All,T0540
Technical,All,T0541
Technical,All,T0542
Technical,All,T0544
Technical,All,T0545
Technical,All,T0546
Technical,All,T0548
Technical,All,T0549
Technical,All,T0550
Technical,All,T0553
Technical,All,T0554
Technical,All,T0555
Technical,All,T0556
Technical,All,T0557
Technical,All,T0558
Technical,All,T0559
Technical,All,T0560
Technical,All,T0561
Technical,All,T0562
Technical,All,T0563
Technical,All,T0564
Technical,All,T0566
Technical,All,T0567
Technical,All,T0568
Technical,All,T0569
Technical,All,T0570
Technical,All,T0571
Technical,All,T0572
Technical,All,T0573
Technical,All,T0574
Technical,All,T0575
Technical,All,T0576
Technical,All,T0578
Technical,All,T0579
Technical,All,T0581
Technical,All,T0582
Technical,All,T0583
Technical,All,T0584
Technical,All,T0585
Technical,All,T0586
Technical,All,T0587
Technical,All,T0588
Technical,All,T0589
Technical,All,T0590
Technical,All,T0591
Technical,All,T0592
Technical,All,T0593
Technical,All,T0594
Technical,All,T0595
Technical,All,T0597
Technical,All,T0598
Technical,All,T0599
Technical,All,T0600
Technical,All,T0601
Technical,All,T0603
Technical,All,T0604
Technical,All,T0605
Technical,All,T0606
Technical,All,T0607
Technical,All,T0608
Technical,All,T0609
Technical,All,T0610
Technical,All,T0612
Technical,All,T0614
Technical,All,T0615
Technical,All,T0616
Technical,All,T0617
Technical,All,T0618
Technical,All,T0619
Technical,All,T0620
Technical,All,T0621
Technical,All,T0623
Technical,All,T0624
Technical,All,T0625
Technical,All,T0626
Technical,All,T0627
Technical,All,T0628
Technical,All,T0629
Technical,All,T0630
Technical,All,T0631
Technical,All,T0632
Technical,All,T0633
Technical,All,T0634
Technical,All,T0635
Technical,All,T0636
Technical,All,T0637
Technical,All,T0638
Technical,All,T0639
Technical,All,T0640
Technical,All,T0641
Technical,All,T0642
Technical,All,T0643
Technical,All,T0644
Technical,All,T0645
Technical,All,T0646
Technical,All,T0647
Technical,All,T0648
Technical,All,T0649
Technical,All,T0650
Technical,All,T0651
Technical,All,T0652
Technical,All,T0653
Technical,All,T0656
Technical,All,T0657
Technical,All,T0659
Technical,All,T0660
Technical,All,T0661
Technical,All,T0662
Technical,All,T0663
Technical,All,T0664
Technical,All,T0665
Technical,All,T0666
Technical,All,T0667
Technical,All,T0669
Technical,All,T0670
Technical,All,T0671
Technical,All,T0674
Technical,All,T0676
Technical,All,T0677
Technical,All,T0678
Technical,All,T0680
Technical,All,T0681
Technical,All,T0683
Technical,All,T0684
Technical,All,T0685
Technical,All,T0686
Technical,All,T0687
Technical,All,T0688
Technical,All,T0690
Technical,All,T0691
Technical,All,T0692
Technical,All,T0695
Technical,All,T0696
Technical,All,T0697
Technical,All,T0698
Technical,All,T0699
Technical,All,T0700
Technical,All,T0701
Technical,All,T0702
Technical,All,T0705
Technical,All,T0706
Technical,All,T0707
Technical,All,T0708
Technical,All,T0709
Technical,All,T0710
Technical,All,T0711
Technical,All,T0712
Technical,All,T0713
Technical,All,T0714
Technical,All,T0715
Technical,All,T0716
Technical,All,T0717
Technical,All,T0718
Technical,All,T0719
Technical,All,T0720
Technical,All,T0721
Technical,All,T0722
Technical,All,T0723
Technical,All,T0724
Technical,All,T0725
Technical,All,T0726
Technical,All,T0727
Technical,All,T0728
Technical,All,T0729
Technical,All,T0731
Technical,All,T0732
Technical,All,T0733
Technical,All,T0734
Technical,All,T0735
Technical,All,T0736
Technical,All,T0737
Technical,All,T0738
Technical,All,T0739
Technical,All,T0740
Technical,All,T0743
Technical,All,T0744
Technical,All,T0745
Technical,All,T0747
Technical,All,T0748
Technical,All,T0749
Technical,All,T0750
Technical,All,T0751
Technical,All,T0752
Technical,All,T0753
Technical,All,T0754
Technical,All,T0755
Technical,All,T0756
Technical,All,T0757
Technical,All,T0758
Technical,All,T0759
Technical,All,T0760
Technical,All,T0761
Technical,All,T0763
Technical,All,T0764
Technical,All,T0765
Technical,All,T0766
Technical,All,T0767
Technical,All,T0768
Technical,All,T0769
Technical,All,T0770
Technical,All,T0771
Technical,All,T0772
Technical,All,T0773
Technical,All,T0774
Technical,All,T0775
Technical,All,T0776
Technical,All,T0777
Technical,All,T0778
Technical,All,T0779
Technical,All,T0781
Technical,All,T0782
Technical,All,T0783
Technical,All,T0784
Technical,All,T0785
Technical,All,T0786
Technical,All,T0787
Technical,All,T0788
Technical,All,T0789
Technical,All,T0790
Technical,All,T0792
Technical,All,T0794
Technical,All,T0795
Technical,All,T0796
Technical,All,T0797
Technical,All,T0798
Technical,All,T0799
Technical,All,T0800
Technical,All,T0801
Technical,All,T0802
Technical,All,T0803
Technical,All,T0804
Technical,All,T0805
Technical,All,T0806
Technical,All,T0807
Technical,All,T0808
Technical,All,T0809
Technical,All,T0810
Technical,All,T0811
Technical,All,T0812
Technical,All,T0814
Technical,All,T0815
Technical,All,T0816
Technical,All,T0817
Technical,All,T0818
Technical,All,T0820
Technical,All,T0821
Technical,All,T0823
Technical,All,T0824
Technical,All,T0825
Technical,All,T0826
Technical,All,T0827
Technical,All,T0828
Technical,All,T0829
Technical,All,T0834
Technical,All,T0835
Technical,All,T0836
Technical,All,T0837
Technical,All,T0838
Technical,All,T0839
Technical,All,T0840
Technical,All,T0841
Technical,All,T0842
Technical,All,T0843
Technical,All,T0844
Technical,All,T0845
Technical,All,T0846
Technical,All,T0847
Technical,All,T0848
Technical,All,T0849
Technical,All,T0850
Technical,All,T0851
Technical,All,T0852
Technical,All,T0853
Technical,All,T0854
Technical,All,T0855
Technical,All,T0856
Technical,All,T0857
Technical,All,T0858
Technical,All,T0859
Technical,All,T0860