ID;name;description;url;created;last modified;version;platforms;aliases;type;contributors
S1000;ACAD/Medre.A;[ACAD/Medre.A](https://collaborate.mitre.org/attackics/index.php/Software/S0018) is a worm that steals operational information. The worm collects AutoCAD files with drawings. ACAD/Medre.A has the capability to be used for industrial espionage.;https://collaborate.mitre.org/attackics/index.php/Software/S0018;31 May 2017;02 January 2020;1.0;Windows;Medre.A;malware;
S0093;Backdoor.Oldrea;[Backdoor.Oldrea](https://attack.mitre.org/software/S0093) is a backdoor used by [Dragonfly](https://attack.mitre.org/groups/G0035). It appears to be custom malware authored by the group or specifically for it. (Citation: Symantec Dragonfly);https://attack.mitre.org/software/S0093;31 May 2017;30 March 2020;1.1;Windows;Havex;malware;
S1001;Bad Rabbit;[Bad Rabbit](https://collaborate.mitre.org/attackics/index.php/Software/S0005) is a self-propagating (“wormable”) ransomware that affected the transportation sector in Ukraine. (Citation: ESET Bad Rabbit Oct 2017);https://collaborate.mitre.org/attackics/index.php/Software/S0005;31 May 2017;02 January 2020;1.0;Windows;Diskcoder.D;malware;
S0089;BlackEnergy;[BlackEnergy](https://attack.mitre.org/software/S0089) is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks, but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008, as well as in targeting Ukrainian institutions. Variants include BlackEnergy 2 and BlackEnergy 3. (Citation: F-Secure BlackEnergy 2014);https://attack.mitre.org/software/S0089;31 May 2017;26 April 2021;1.3;Windows;Black Energy;malware;
S1003;Conficker;[Conficker](https://collaborate.mitre.org/attackics/index.php/Software/S0012) is a computer worm that targets Microsoft Windows and was first detected in November 2008. It targets a vulnerability (MS08-067) in Windows OS software and dictionary attacks on administrator passwords to propagate while forming a botnet. Conficker made its way onto computers and removable disk drives in a nuclear power plant. (Citation: Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary);https://collaborate.mitre.org/attackics/index.php/Software/S0012;31 May 2017;27 December 2019;1.0;Windows;Downadup, Kido;malware;
S0038;Duqu;[Duqu](https://attack.mitre.org/software/S0038) is a malware platform that uses a modular approach to extend functionality after deployment within a target network. (Citation: Symantec W32.Duqu);https://attack.mitre.org/software/S0038;31 May 2017;30 March 2020;1.2;Windows;;malware;
S0017;EKANS;[EKANS](https://collaborate.mitre.org/attackics/index.php/Software/S0017) is ransomware that was first seen December 2019 and later reported to have impacted operations at Honda automotive production facilities.(Citation: Forbes Snake Ransomware June 2020)(Citation: MalwareByes Honda and Enel Ransomware June 2020)(Citation: Dragos EKANS February 2020) EKANS has a hard-coded kill-list of processes, including some associated with common ICS software platforms (e.g., GE Proficy historian, Honeywell HMIWeb).(Citation: Dragos EKANS February 2020) If the malware discovers these processes on the target system, it will stop, encrypt, and rename the process to prevent the program from restarting. This malware should not be confused with the “Snake” malware associated with the Turla group. The ICS processes documented within the malware’s kill-list is similar to those defined by the MEGACORTEX software.(Citation: FireEye OT Ransomware July 2020)(Citation: Pylos January 2020)(Citation: Dragos EKANS June 2020)The ransomware was initially reported as “Snake”, however, to avoid confusion with the unrelated Turla APT group security researchers spelled it backwards as EKANS.;https://collaborate.mitre.org/attackics/index.php/Software/S0017;13 April 2021;13 April 2021;1.0;Windows;SNAKEHOSE;malware;
S0143;Flame;Flame is a sophisticated toolkit that has been used to collect information since at least 2010, largely targeting Middle East countries. (Citation: Kaspersky Flame);https://attack.mitre.org/software/S0143;31 May 2017;30 March 2020;1.1;Windows;Flamer, sKyWIper;malware;
S1004;Industroyer;[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is a sophisticated piece of malware designed to cause an [Impact](https://collaborate.mitre.org/attackics/index.php/Impact) to the working processes of Industrial Control Systems (ICS), specifically ICSs used in electrical substations.(Citation: ESET Win32/Industroyer) Industroyer was alleged to be used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos Crashoverride)(Citation: CISA Alert (TA17-163A))(Citation: Dragos Crashoverride 2018)(Citation: Dragos Crashoverride 2019);https://collaborate.mitre.org/attackics/index.php/Software/S0001;31 May 2017;06 January 2020;1.0;Windows;CRASHOVERRIDE;malware;
S1005;Killdisk;In 2015 the BlackEnergy malware contained a component called KillDisk. KillDisk's main functionality is to overwrite files with random data, rendering the OS unbootable. (Citation: ESET BlackEnergy Jan 2016);https://collaborate.mitre.org/attackics/index.php/Software/S0016;31 May 2017;05 January 2020;1.0;Windows;;malware;
S0372;LockerGoga;[LockerGoga](https://attack.mitre.org/software/S0372) is ransomware that has been tied to various attacks on European companies. It was first reported upon in January 2019.(Citation: Unit42 LockerGoga 2019)(Citation: CarbonBlack LockerGoga 2019);https://attack.mitre.org/software/S0372;16 April 2019;20 March 2020;1.3;Windows;;malware;
S0368;NotPetya;"[NotPetya](https://attack.mitre.org/software/S0368) is malware that was used by [Sandworm Team](https://attack.mitre.org/groups/G0034) in a worldwide attack starting on June 27, 2017. While [NotPetya](https://attack.mitre.org/software/S0368) appears as a form of ransomware, its main purpose was to destroy data and disk structures on compromised systems; the attackers never intended to make the encrypted data recoverable. As such, [NotPetya](https://attack.mitre.org/software/S0368) may be more appropriately thought of as a form of wiper malware. [NotPetya](https://attack.mitre.org/software/S0368) contains worm-like features to spread itself across a computer network using the SMBv1 exploits EternalBlue and EternalRomance.(Citation: Talos Nyetya June 2017)(Citation: US-CERT NotPetya 2017)(Citation: ESET Telebots June 2017)(Citation: US District Court Indictment GRU Unit 74455 October 2020)";https://attack.mitre.org/software/S0368;26 March 2019;23 April 2021;2.0;Windows;Diskcoder.C, ExPetr, GoldenEye, Nyetya, Petrwrap;malware;
S1006;PLC-Blaster;[PLC-Blaster](https://collaborate.mitre.org/attackics/index.php/Software/S0009) is a piece of proof-of-concept malware that runs on Siemens S7 PLCs. This worm locates other Siemens S7 PLCs on the network and attempts to infect them. Once this worm has infected its target and attempted to infect other devices on the network, the worm can then run one of many modules.(Citation: BlackHat PLC-Blaster Mar 2016)(Citation: BlackHat PLC-Blaster 2016);https://collaborate.mitre.org/attackics/index.php/Software/S0009;26 March 2019;02 January 2020;1.0;Windows;;malware;
S0446;Ryuk;[Ryuk](https://attack.mitre.org/software/S0446) is a ransomware designed to target enterprise environments that has been used in attacks since at least 2018. [Ryuk](https://attack.mitre.org/software/S0446) shares code similarities with Hermes ransomware.(Citation: CrowdStrike Ryuk January 2019)(Citation: FireEye Ryuk and Trickbot January 2019)(Citation: FireEye FIN6 Apr 2019);https://attack.mitre.org/software/S0446;13 May 2020;14 April 2021;1.1;Windows;;malware;"Matt Brenton, Zurich Insurance Group; The DFIR Report, @TheDFIRReport"
S1008;Stuxnet;[Stuxnet](https://collaborate.mitre.org/attackics/index.php/Software/S0010) was the first publicly reported piece of malware to specifically target industrial control systems devices. Stuxnet is a large and complex piece of malware that utilized multiple different complex tactics including multiple zero-day vulnerabilites, a sophisticated Windows rootkit, and network infection routines.(Citation: Wired W32.Stuxnet Dossier Feb 2011)(Citation: Symantec W32.Stuxnet Writeup)(Citation: CISA ICS Advisory (ICSA-10-238-01B))(Citation: SCADAhacker Stuxnet Mitigation Jan 2014);https://collaborate.mitre.org/attackics/index.php/Software/S0010;26 March 2019;03 January 2020;1.0;Windows;;malware;
S1009;Triton;[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013) is an attack framework built to interact with Triconex Safety Instrumented System (SIS) controllers.(Citation: FireEye TRITON Dec 2017)(Citation: Dragos TRISIS Dec 2017)(Citation: CISA MAR-17-352-01 HatMan)(Citation: Schneider Electric TRITON Jan 2018)(Citation: Triton - A Report From The Trenches Mar 2019)(Citation: Schneider Electric Dec 2018)(Citation: MidnightBlueLabs TRITON Jan 2018);https://collaborate.mitre.org/attackics/index.php/Software/S0013;26 March 2019;02 January 2020;1.0;Windows;HatMan, TRISIS;malware;
S1010;VPNFilter;[VPNFilter](https://collaborate.mitre.org/attackics/index.php/Software/S0002) is a multi-stage, modular platform with versatile capabilities to support both intelligence-collection and destructive cyber attack operations. VPNFilter modules such as its packet sniffer ('ps') can collect traffic that passes through an infected device, allowing the theft of website credentials and monitoring of Modbus SCADA protocols.(Citation: Talos VPNFilter Jun 2018)(Citation: VPNFilter Deep Dive Mar 2019);https://collaborate.mitre.org/attackics/index.php/Software/S0002;26 March 2019;03 January 2020;1.0;Windows;;malware;
S0366;WannaCry;[WannaCry](https://attack.mitre.org/software/S0366) is ransomware that was first seen in a global attack during May 2017, which affected more than 150 countries. It contains worm-like features to spread itself across a computer network using the SMBv1 exploit EternalBlue.(Citation: LogRhythm WannaCry)(Citation: US-CERT WannaCry 2017)(Citation: Washington Post WannaCry 2017)(Citation: FireEye WannaCry 2017);https://attack.mitre.org/software/S0366;25 March 2019;13 May 2020;1.1;Windows;WCry, WanaCry, WanaCrypt, WanaCrypt0r;malware;Jan Miller, CrowdStrike