Category;Code;EN;FR;
IWC;IWC0013D;Information Assurance;Assurance de l'information;
IWC;IWC0014;Common Strategies for Ensuring Information;Stratégies communes pour garantir l'information;
IWC;IWC0014A;Data and information to be safeguarded, such as;Données et informations à protéger, telles que;
IWC;IWC0014B;Accounts receivable and payable;Comptes débiteurs et créditeurs;
IWC;IWC0014C;Databases;Bases de données;
IWC;IWC0014D;Electronic spreadsheets;Feuilles de calcul électroniques;
IWC;IWC0014E;Financial files;Dossiers financiers;
IWC;IWC0014F;Human ressources rules;Règles de ressources humaines;
IWC;IWC0014G;Word processing documents;Documents de traitement de texte;
IWC;IWC0014H;Demonstrate ability to backup and store data automatically on a separate hard disk, off-line removable media, or online storage;Démontrer sa capacité à sauvegarder et stocker automatiquement des données sur un disque dur séparé, un support amovible hors ligne ou un stockage en ligne;
IWC;IWC0014I;Demonstrate ability to produce copies of all data or information used in or generated by the organization;Démontrer sa capacité à produire des copies de toutes les données ou informations utilisées ou générées par l'organisation;
IWC;IWC0014J;Demonstrate ability to protect sensitive information when disposing of old computers and media;Démontrer sa capacité à protéger les informations sensibles lors de l'élimination des vieux ordinateurs et supports;
IWC;IWC0014K;Explain digital rights management;Expliquer la gestion des droits numériques;
IWC;IWC0014L;Explain the concept of administrative privileges and administrative user accounts and why it is necessary to restrict them to select individuals within the organization;Expliquer le concept de privilèges administratifs et de comptes d'utilisateurs administratifs et pourquoi il est nécessaire de les restreindre pour sélectionner des personnes au sein de l'organisation;
IWC;IWC0014M;Explain the need to limit access or use of an organization’s computers, including laptops, to unauthorized persons;Expliquer la nécessité de limiter l'accès ou l'utilisation des ordinateurs d'une organisation, y compris les ordinateurs portables, à des personnes non autorisées;
IWC;IWC0016;Data management policies, such as those pertaining to;Politiques de gestion des données, telles que celles relatives à;
IWC;IWC0016A;Data destruction;Destruction des données;
IWC;IWC0016B;Data loss prevention;Prévention des pertes de données;
IWC;IWC0016C;Deduplication;Déduplication;
IWC;IWC0016D;Information rights usage;Utilisation des droits d'information;
IWC;IWC0016E;Retention requirements;Exigences de conservation;
IWC;IWC0016F;Social network usage;Utilisation des réseaux sociaux;
IWC;IWC0016G;Storage media;Supports de stockage;
IWC;IWC0016H;Transmission archiving;Archivage des transmissions;
IWC;IWC0017;Identity Management and Authentication;Gestion des identités et authentification;
IWC;IWC0017A;Adhere to organizational information technology user security policies;Adhérer aux politiques de sécurité des utilisateurs des technologies de l'information de l'organisation;
IWC;IWC0017B;Adhere to Personally Identifiable Information (PII) and Payment Card Industry (PCI) data security standards;Respectez les normes de sécurité des données de l'industrie des cartes de paiement (PCI) et des informations personnelles identifiables (PII);
IWC;IWC0017C;Authentication controls, such as;Contrôles d'authentification, tels que;
IWC;IWC0017D;Authentication services (e.g., RADIUS, TACAS, OpenID);Services d'authentification (par exemple, RADIUS, TACAS, OpenID);
IWC;IWC0017E;Biometrics;Biométrie;
IWC;IWC0017F;Common access card;Carte d'accès commune;
IWC;IWC0017G;Personal identification verification card;Carte de vérification d'identité personnelle;
IWC;IWC0017H;Tokens;Jetons;
IWC;IWC0017I;Explain key authentication, authorization, and access control principles and methods;Expliquer les principes et méthodes d'authentification, d'autorisation et de contrôle d'accès par clé;
IWC;IWC0017J;Explain the need for access authentication controls, including the need to disable expired user accounts and regularly change passwords;Expliquer le besoin de contrôles d'authentification d'accès, y compris le besoin de désactiver les comptes d'utilisateurs expirés et de changer régulièrement les mots de passe;
IWC;IWC0017K;Key principles and concepts;Principes et concepts clés;
IWC;IWC0017L;Identification vs. Authentication;Identification vs authentification;
IWC;IWC0017M;Multifactor authentication;Authentification multifactorielle;
IWC;IWC0017N;Single factor authentication and authorization;Authentification et autorisation à un facteur;
IWC;IWC0017O;User security policies, such as;Politiques de sécurité des utilisateurs, telles que;
IWC;IWC0017P;Access controls;Contrôles d'accès;
IWC;IWC0017Q;Account creation;Création de compte;
IWC;IWC0017R;Password rules;Règles de mot de passe;
IWC;IWC0018;Information Assurance competency;Compétence en assurance de l'information;
IWC;IWC0018A;Apply confidentiality, integrity, and availability principles;Appliquer les principes de confidentialité, d'intégrité et de disponibilité;
IWC;IWC0018B;Demonstrate skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes;Démontrer des compétences pour déterminer comment un système de sécurité doit fonctionner (y compris ses capacités de résilience et de fiabilité) et comment les changements dans les conditions, les opérations ou l'environnement affecteront ces résultats;
IWC;IWC0018C;Describe Security Assessment and Authorization (SA&A) process;Décrire le processus d'évaluation et d'autorisation de sécurité (SA&A);
IWC;IWC0018D;Explain how information assurance principles and methods apply to software development;Expliquer comment les principes et méthodes d'assurance de l'information s'appliquent au développement de logiciels;
IWC;IWC0018E;Explain information assurance (IA) principles and organizational requirements that are relevant to confidentiality, integrity, availability, authentication, and non-repudiation;Expliquer les principes d'assurance de l'information (IA) et les exigences organisationnelles qui concernent la confidentialité, l'intégrité, la disponibilité, l'authentification et la non-répudiation;
IWC;IWC0018F;Explain key concepts in security management (e.g., release management, patch management);Expliquer les concepts clés de la gestion de la sécurité (par exemple, la gestion des versions, la gestion des correctifs);
IWC;IWC0018G;Principles of Information Assurance;Principes d'assurance de l'information;
IWV;IWV0015;Data Management;Gestion de données;
IWV;IWV0015A;Adhere to data administration and data standardization policies and standards;Adhérer aux politiques et normes d'administration et de normalisation des données;
IWV;IWV0015B;Data mining and warehousing principles;Principes d'extraction et d'entreposage des données;
IWV;IWV0015C;Data integrity;Intégrité des données;
IWV;IWV0015D;Data loss prevention techniques and tools;Techniques et outils de prévention des pertes de données;
IWV;IWV0015E;Data protection (e.g., encryption, masking);Protection des données (par exemple, cryptage, masquage);
IWV;IWV0015F;Privacy impact assessments;Évaluations de l'impact sur la vie privée;
IWV;IWV0015G;Demonstrate ability to manage data stored within operational technology (OT) systems (e.g., time series data stored in Supervisory Control and Data Acquisition [SCADA] and Historians);Démontrer la capacité de gérer les données stockées dans les systèmes de technologie opérationnelle (OT) (par exemple, les données de séries chronologiques stockées dans le contrôle de supervision et l'acquisition de données [SCADA] et les historiens);
IWV;IWV0015H;Demonstrate knowledge of advanced data remediation security features in databases;Démontrer la connaissance des fonctionnalités de sécurité avancées de correction des données dans les bases de données;
IWV;IWV0015I;Explain data classification standards and methodologies based on sensitivity and other risk factors;Expliquer les normes et méthodologies de classification des données basées sur la sensibilité et d'autres facteurs de risque;
IWV;IWV0015J;Explain data mining and data warehousing principles;Expliquer les principes de l'exploration de données et de l'entreposage de données;
IWV;IWV0015K;Explain the importance of complying with data management policies;Expliquer l'importance de se conformer aux politiques de gestion des données;
IWV;IWV0015L;Explain the need for an organization to understand what its sensitive information is, where it resides, and who needs access to it;Expliquer la nécessité pour une organisation de comprendre quelles sont ses informations sensibles, où elles résident et qui a besoin d'y accéder;
IWV;IWV0015M;Explain the need to limit USB and other removable media reading and writing capabilities on organization computers;Expliquer la nécessité de limiter les capacités de lecture et d'écriture USB et autres supports amovibles sur les ordinateurs de l'organisation;
IWV;IWV0015N;Explain the need to track the movement of data across network boundaries both electronically and physically;Expliquer la nécessité de suivre le mouvement des données à travers les limites du réseau à la fois électroniquement et physiquement;
IWV;IWV0015O;Identify sources, characteristics, and uses of the organization’s data assets;Identifier les sources, les caractéristiques et les utilisations des actifs de données de l'organisation;
WPC;WPC0001;Acknowledging team membership and role;Reconnaissance de la composition et du rôle de l'équipe;
WPC;WPC0002;Establishing productive relationships;Établissement de relations productives;
WPC;WPC0003;Identifying with the team and its goals;Identifier avec l'équipe et ses objectifs;
WPC;WPC0004;Resolving conflicts;Résolution des conflits;
WPC;WPC0005;Managing projects;Gestion de projets;
WPC;WPC0005;Managing projects;Gérer des projets;Planifier et organiser
WPC;WPC0005A;Coordinate efforts with all affected parties, keeping them informed of progress and all relevant changes to project timelines;Coordonner les efforts avec toutes les parties concernées, en les tenant informées des progrès et de tous les changements pertinents aux échéanciers du projet;
WPC;WPC0005B;Estimate personnel and other resources needed for project completion (e.g., financial material or equipment);Estimer le personnel et les autres ressources nécessaires à l'achèvement du projet (p. Ex. Matériel financier ou équipement);
WPC;WPC0005C;Keep track of and documents plans, assignments, changes, and deliverable;Gardez une trace et documentez les plans, les affectations, les changements et les livrables;
WPC;WPC0005D;Manage activities to meet plans, allocating time and resources effectively;Gérer les activités pour respecter les plans, allouer efficacement le temps et les ressources;
WPC;WPC0005E;Plan for dependencies of one task on another;Planifier les dépendances d'une tâche sur une autre;
WPC;WPC0005F;Take necessary corrective action when projects go off-track;Prendre les mesures correctives nécessaires lorsque les projets ne sont pas sur la bonne voie;
WPC;WPC0006;Planning;Planification;
WPC;WPC0006;Planning;Planification;
WPC;WPC0006A;Anticipate obstacles to project completion and develop contingency plans to address them;Anticiper les obstacles à l'achèvement du projet et élaborer des plans d'urgence pour y remédier;
WPC;WPC0006B;Approach work in a methodical manner;Aborder le travail de manière méthodique;
WPC;WPC0006C;Find new ways of organizing work areas or planning work to accomplish work more efficiently;Trouvez de nouvelles façons d'organiser les zones de travail ou de planifier le travail pour accomplir le travail plus efficacement;
WPC;WPC0006D;Keep track of details to ensure work is performed accurately and completely;Gardez une trace des détails pour vous assurer que le travail est effectué avec précision et complètement;
WPC;WPC0006E;Plan and schedule tasks so that work is completed on time;Planifier et planifier les tâches afin que le travail soit terminé à temps;
WPC;WPC0007;Prioritizing;Hiérarchisation;
WPC;WPC0007;Prioritizing;Prioriser;
WPC;WPC0007A;Perform tasks quickly, correctly, and efficiently according to their urgency;Effectuer les tâches rapidement, correctement et efficacement en fonction de leur urgence;
WPC;WPC0007B;Prioritize multiple competing tasks;Prioriser plusieurs tâches concurrentes;
WPC;WPC0008;Employing unique analyses;Utilisation d'analyses uniques;
WPC;WPC0008;Employing unique analyses;Utiliser des analyses uniques;La pensée créative
WPC;WPC0009;Generating innovative solutions;Génération de solutions innovantes;
WPC;WPC0009;Generating innovative solutions;Générer des solutions innovantes;
WPC;WPC0010;Seeing the big picture;Une vue d'ensemble;
WPC;WPC0010;Seeing the big picture;Voir la vue d'ensemble;
WPC;WPC0020;Business Ethics;Éthique des affaires;
WPC;WPC0020;Business Ethics;L'éthique des affaires;
WPC;WPC0020A;Act in the best interest of the company, the community, and the environment;Agir dans le meilleur intérêt de l'entreprise, de la communauté et de l'environnement;Fondamentaux de l'entreprise
WPC;WPC0020B;Comply with applicable laws and rules governing work and report loss, waste, or theft of company property to appropriate personnel;Se conformer aux lois et règles applicables régissant le travail et signaler la perte, le gaspillage ou le vol de biens de l'entreprise au personnel approprié;
WPC;WPC0020C;Demonstrate respect for coworkers, colleagues, and customers;Faire preuve de respect envers ses collègues, ses collègues et ses clients;
WPC;WPC0021;Business Practices;Pratiques commerciales;
WPC;WPC0021;Business Practices;Pratiques commerciales;
WPC;WPC0021A;Comply with the norms of conventional business etiquette;Se conformer aux normes de l'étiquette commerciale conventionnelle;
WPC;WPC0021B;Demonstrate understanding of the importance of adding value to the enterprise;Démontrer une compréhension de l'importance d'ajouter de la valeur à l'entreprise;
WPC;WPC0021C;Protect intellectual property and proprietary information;Protéger la propriété intellectuelle et les informations exclusives;
WPC;WPC0021D;Understand fundamental and relevant business customer and supplier relationships;Comprendre les relations commerciales fondamentales et pertinentes avec les clients et les fournisseurs;
WPC;WPC0021E;Use product improvement techniques;Utiliser des techniques d'amélioration des produits;
WPC;WPC0022;Global Awareness;Sensibilisation mondiale;
WPC;WPC0022;Global Awareness;Conscience mondiale;
WPC;WPC0022A;Interpret and adhere to global standards and standardization;Interpréter et adhérer aux normes mondiales et à la normalisation;
WPC;WPC0022B;Understand how IT supports globalization;Comprendre comment le service informatique prend en charge la mondialisation;
WPC;WPC0022C;Understand the impact of globalization on the business model;Comprendre l'impact de la mondialisation sur le modèle économique;
WPC;WPC0023;Market knowledge;Connaissance du marché;
WPC;WPC0023;Market knowledge;Connaissance du marché;
WPC;WPC0023A;Know who the company’s primary competitors are and stay current on organizational strategies to maintain competitiveness;Savoir qui sont les principaux concurrents de l’entreprise et se tenir au courant des stratégies organisationnelles pour maintenir la compétitivité;
WPC;WPC0023B;Recognize major challenges faced by the organization and industry and key strategies to address challenges;Reconnaître les défis majeurs auxquels sont confrontés l'organisation et l'industrie et les stratégies clés pour relever les défis;
WPC;WPC0023C;Understand market trends in the industry and company’s position in the market;Comprendre les tendances du marché dans le secteur et la position de l'entreprise sur le marché;
WPC;WPC0023D;Uphold the organization through building and maintaining customer relations;Soutenir l'organisation en établissant et en maintenant des relations clients;
WPC;WPC0024;Situational Awareness;Conscience de la situation;
WPC;WPC0024;Situational Awareness;Connaissance de la situation;
WPC;WPC0024A;Grasp the potential impact of the company’s well-being on employees;Saisir l’impact potentiel du bien-être de l’entreprise sur les employés;
WPC;WPC0024B;Recognize one’s role in the functioning of the organization and understand the potential impact one’s own performance can have on the success of the organization;Reconnaître son rôle dans le fonctionnement de l’organisation et comprendre l’impact potentiel que sa propre performance peut avoir sur le succès de l’organisation;
WPC;WPC0024C;Understand the mission, structure, and functions of the organization;Comprendre la mission, la structure et les fonctions de l'organisation;
WPC;WPC0025;Maintaining a healthy and safe environment;Maintenir un environnement sain et sûr;
WPC;WPC0025;Maintaining a healthy and safe environment;Maintenir un environnement sain et sûr;Santé et sécurité
WPC;WPC0026;Safeguarding one’s person;Protéger sa personne;
WPC;WPC0026;Safeguarding one’s person;Protéger sa personne;